date,BTC-USD
20230113,19909.57421875
20230116,21169.6328125
20230117,21161.51953125
20230118,20688.78125
20230119,21086.79296875
20230120,22676.552734375
20230123,22934.431640625
20230124,22636.46875
20230125,23117.859375
20230126,23032.77734375
20230127,23078.728515625
20230130,22840.138671875
20230131,23139.283203125
20230201,23723.76953125
20230202,23471.87109375
20230203,23449.322265625
20230206,22760.109375
20230207,23264.291015625
20230208,22939.3984375
20230209,21819.0390625
20230210,21651.18359375
20230213,21808.1015625
20230214,22220.8046875
20230215,24307.841796875
20230216,23623.474609375
20230217,24565.6015625
20230220,24829.1484375
20230221,24436.353515625
20230222,24188.84375
20230223,23947.4921875
20230224,23198.126953125
20230227,23522.87109375
20230228,23147.353515625
20230301,23646.55078125
20230302,23475.466796875
20230303,22362.6796875
20230306,22429.7578125
20230307,22219.76953125
20230308,21718.080078125
20230309,20363.021484375
20230310,20187.244140625
20230313,24197.533203125
20230314,24746.07421875
20230315,24375.9609375
20230316,25052.7890625
20230317,27423.9296875
20230320,27767.236328125
20230321,28175.81640625
20230322,27307.4375
20230323,28333.97265625
20230324,27493.28515625
20230327,27139.888671875
20230328,27268.130859375
20230329,28348.44140625
20230330,28033.5625
20230331,28478.484375
20230403,27790.220703125
20230404,28168.08984375
20230405,28177.984375
20230406,28044.140625
20230407,27925.859375
20230410,29652.98046875
20230411,30235.05859375
20230412,30139.052734375
20230413,30399.06640625
20230414,30485.69921875
20230417,29445.044921875
20230418,30397.552734375
20230419,28822.6796875
20230420,28245.98828125
20230421,27276.91015625
20230424,27525.33984375
20230425,28307.59765625
20230426,28422.701171875
20230427,29473.787109375
20230428,29340.26171875
20230501,28091.568359375
20230502,28680.537109375
20230503,29006.30859375
20230504,28847.7109375
20230505,29534.384765625
20230508,27694.2734375
20230509,27658.775390625
20230510,27621.755859375
20230511,27000.7890625
20230512,26804.990234375
20230515,27192.693359375
20230516,27036.650390625
20230517,27398.802734375
20230518,26832.208984375
20230519,26890.12890625
20230522,26851.27734375
20230523,27225.7265625
20230524,26334.818359375
20230525,26476.20703125
20230526,26719.291015625
20230529,27745.884765625
20230530,27702.349609375
20230531,27219.658203125
20230601,26819.97265625
20230602,27249.58984375
20230605,25760.09765625
20230606,27238.783203125
20230607,26345.998046875
20230608,26508.216796875
20230609,26480.375
20230612,25902.5
20230613,25918.728515625
20230614,25124.67578125
20230615,25576.39453125
20230616,26327.462890625
20230619,26851.029296875
20230620,28327.48828125
20230621,30027.296875
20230622,29912.28125
20230623,30695.46875
20230626,30271.130859375
20230627,30688.1640625
20230628,30086.24609375
20230629,30445.3515625
20230630,30477.251953125
20230703,31156.439453125
20230704,30777.58203125
20230705,30514.166015625
20230706,29909.337890625
20230707,30342.265625
20230710,30414.470703125
20230711,30620.951171875
20230712,30391.646484375
20230713,31476.048828125
20230714,30334.068359375
20230717,30145.888671875
20230718,29856.5625
20230719,29913.923828125
20230720,29792.015625
20230721,29908.744140625
20230724,29176.916015625
20230725,29227.390625
20230726,29354.97265625
20230727,29210.689453125
20230728,29319.24609375
20230731,29230.111328125
20230801,29675.732421875
20230802,29151.958984375
20230803,29178.6796875
20230804,29074.091796875
20230807,29180.578125
20230808,29765.4921875
20230809,29561.494140625
20230810,29429.591796875
20230811,29397.71484375
20230814,29408.443359375
20230815,29170.34765625
20230816,28701.779296875
20230817,26664.55078125
20230818,26049.556640625
20230821,26124.140625
20230822,26031.65625
20230823,26431.640625
20230824,26162.373046875
20230825,26047.66796875
20230828,26106.150390625
20230829,27727.392578125
20230830,27297.265625
20230831,25931.47265625
20230901,25800.724609375
20230904,25812.416015625
20230905,25779.982421875
20230906,25753.236328125
20230907,26240.1953125
20230908,25905.654296875
20230911,25162.654296875
20230912,25833.34375
20230913,26228.32421875
20230914,26539.673828125
20230915,26608.693359375
20230918,26754.28125
20230919,27211.1171875
20230920,27132.0078125
20230921,26567.6328125
20230922,26579.568359375
20230925,26298.48046875
20230926,26217.25
20230927,26352.716796875
20230928,27021.546875
20230929,26911.720703125
20231002,27530.78515625
20231003,27429.978515625
20231004,27799.39453125
20231005,27415.912109375
20231006,27946.59765625
20231009,27583.677734375
20231010,27391.01953125
20231011,26873.3203125
20231012,26756.798828125
20231013,26862.375
20231016,28519.466796875
20231017,28415.748046875
20231018,28328.341796875
20231019,28719.806640625
20231020,29682.94921875
20231023,33086.234375
20231024,33901.52734375
20231025,34502.8203125
20231026,34156.6484375
20231027,33909.80078125
20231030,34502.36328125
20231031,34667.78125
20231101,35437.25390625
20231102,34938.2421875
20231103,34732.32421875
20231106,35037.37109375
20231107,35443.5625
20231108,35655.27734375
20231109,36693.125
20231110,37313.96875
20231113,36502.35546875
20231114,35537.640625
20231115,37880.58203125
20231116,36154.76953125
20231117,36596.68359375
20231120,37476.95703125
20231121,35813.8125
20231122,37432.33984375
20231123,37289.62109375
20231124,37720.28125
20231127,37254.16796875
20231128,37831.0859375
20231129,37858.4921875
20231130,37712.74609375
20231201,38688.75
20231204,41980.09765625
20231205,44080.6484375
20231206,43746.4453125
20231207,43292.6640625
20231208,44166.6015625
20231211,41243.83203125
20231212,41450.22265625
20231213,42890.7421875
20231214,43023.97265625
20231215,41929.7578125
20231218,42623.5390625
20231219,42270.52734375
20231220,43652.25
20231221,43869.15234375
20231222,43997.90234375
20231225,43613.140625
20231226,42520.40234375
20231227,43442.85546875
20231228,42627.85546875
20231229,42099.40234375
20240101,44167.33203125
20240102,44957.96875
20240103,42848.17578125
20240104,44179.921875
20240105,44162.69140625
20240108,46970.50390625
20240109,46139.73046875
20240110,46627.77734375
20240111,46368.5859375
