Date,NVDA,SMA,EMA,AAPL,AMD,AVGO,INTC,QCOM,ADS_Index,Mkt-RF,SMB,HML,RMW,CMA,RF,CBBTCUSD,CBETHUSD,SP500,NASDAQCOM,DJIA
240117,56.04097366333008,49.62878252665202,50.54674335341144,181.78941345214844,160.1699981689453,109.19196319580078,45.4512825012207,137.34042358398438,-0.794563,-0.59,-0.16,-0.24,0.26,-0.23,0.022,42705.07,2526.78,4739.21,14855.62,37266.67
240118,57.094749450683594,50.01539980570475,50.96919535968707,187.7104034423828,162.6699981689453,113.17313385009766,46.122291564941406,143.2255859375,-0.784883,0.87,-0.27,-0.34,0.71,-0.24,0.022,41234.95,2465.22,4780.94,15055.65,37468.61
240119,59.478233337402344,50.446140670776366,51.51816579790724,190.62611389160156,174.22999572753906,119.83049011230469,47.51365661621094,149.8008270263672,-0.771305,1.19,-0.37,0.65,-0.05,-0.27,0.022,41633.68,2488.81,4839.81,15310.97,37863.8
240122,59.64120101928711,50.91773948669434,52.042232586383356,192.9447479248047,168.17999267578125,120.75059509277344,47.582733154296875,150.69789123535156,-0.708114,0.39,1.83,0.58,-0.43,0.09,0.022,39547.64,2313.9,4850.43,15360.29,38001.81
240123,59.86015701293945,51.3602113087972,52.5466148074515,194.22845458984375,168.4199981689453,121.32540130615234,48.243873596191406,151.3189239501953,-0.680851,0.22,-0.69,-0.58,-0.18,0.21,0.022,39866.78,2239.9,4864.6,15425.94,37905.45
240124,61.34883117675781,51.8219788869222,53.114499980613026,193.55178833007812,178.2899932861328,124.05206298828125,48.44123077392578,152.17657470703125,-0.650637,-0.01,-0.76,0.02,0.25,-0.4,0.022,40051.8,2232.81,4868.55,15481.92,37806.39
240125,61.60377502441406,52.32153816223145,53.662195144729225,193.223388671875,180.3300018310547,121.69047546386719,48.89515686035156,152.275146484375,-0.617458,0.46,0.2,0.56,-0.2,0.52,0.022,39944.5,2217.52,4894.16,15510.5,38049.13
240126,61.017906188964844,52.7672425587972,54.13675714758314,191.48191833496094,177.25,119.2052230834961,43.07312774658203,148.57843017578125,-0.581302,-0.02,0.32,-0.22,0.25,0.02,0.022,41792.29,2265.82,4890.97,15455.36,38109.43
240129,62.451595306396484,53.246372858683266,54.673198319119486,190.7952880859375,177.8300018310547,120.48049926757812,43.2606201171875,147.51376342773438,-0.455508,0.86,0.88,-0.57,-1.11,-0.3,0.022,43272.35,2315.41,4927.93,15628.04,38333.45
240130,62.76053237915039,53.72706972757975,55.19496156075392,187.123291015625,172.05999755859375,119.52973175048828,42.35277557373047,143.90577697753906,-0.408655,-0.13,-0.96,0.85,0.99,0.13,0.022,42985.96,2346.26,4924.97,15509.9,38467.31
